version,dimension,key1,key2,pid,pstatus,trial,rt,attempt,correct,block,stimulus
task-w6i6,valence,NA,cold_left,1667937,complete,BEGIN TASK,,NA,0,NA,
task-w6i6,valence,NA,cold_left,1667937,complete,1,4423.255,NA,0,NA,
task-w6i6,valence,NA,cold_left,1667937,complete,1,699.761,NA,0,NA,
task-w6i6,valence,NA,cold_left,1667937,complete,1,1187.62,1,1,1,happy.png
task-w6i6,valence,NA,cold_left,1667937,complete,1,1099.625,NA,0,1,happy.png
task-w6i6,valence,NA,cold_left,1667937,complete,2,585.265,1,1,1,happy.png
task-w6i6,valence,NA,cold_left,1667937,complete,2,1099.66,NA,0,1,happy.png
task-w6i6,valence,NA,cold_left,1667937,complete,3,572.87,1,1,1,unhappy.png
task-w6i6,valence,NA,cold_left,1667937,complete,3,1099.608,NA,0,1,unhappy.png
task-w6i6,valence,NA,cold_left,1667937,complete,4,474.12,1,1,1,happy.png
task-w6i6,valence,NA,cold_left,1667937,complete,4,1099.642,NA,0,1,happy.png
task-w6i6,valence,NA,cold_left,1667937,complete,5,403.325,1,1,1,unhappy.png
task-w6i6,valence,NA,cold_left,1667937,complete,5,1099.626,NA,0,1,unhappy.png
task-w6i6,valence,NA,cold_left,1667937,complete,6,571.785,1,1,1,unhappy.png
task-w6i6,valence,NA,cold_left,1667937,complete,6,1099.581,NA,0,1,unhappy.png
task-w6i6,valence,NA,cold_left,1667937,complete,2,2222.215,NA,0,NA,
task-w6i6,valence,NA,cold_left,1667937,complete,2,700.511,NA,0,NA,
task-w6i6,valence,NA,cold_left,1667937,complete,7,408.905,1,1,2,cold.png
task-w6i6,valence,NA,cold_left,1667937,complete,7,1099.6,NA,0,2,cold.png
task-w6i6,valence,NA,cold_left,1667937,complete,8,241.53,1,1,2,hot.png
task-w6i6,valence,NA,cold_left,1667937,complete,8,1099.621,NA,0,2,hot.png
task-w6i6,valence,NA,cold_left,1667937,complete,9,300.865,1,1,2,cold.png
task-w6i6,valence,NA,cold_left,1667937,complete,9,1099.623,NA,0,2,cold.png
task-w6i6,valence,NA,cold_left,1667937,complete,10,230.015,1,1,2,hot.png
task-w6i6,valence,NA,cold_left,1667937,complete,10,1549.439,NA,0,2,hot.png
task-w6i6,valence,NA,cold_left,1667937,complete,11,434.355,1,1,2,hot.png
task-w6i6,valence,NA,cold_left,1667937,complete,11,1099.584,NA,0,2,hot.png
task-w6i6,valence,NA,cold_left,1667937,complete,12,429.135,1,1,2,cold.png
task-w6i6,valence,NA,cold_left,1667937,complete,12,1099.602,NA,0,2,cold.png
task-w6i6,valence,NA,cold_left,1667937,complete,3,2307.185,NA,0,NA,
task-w6i6,valence,NA,cold_left,1667937,complete,3,699.739,NA,0,NA,
task-w6i6,valence,NA,cold_left,1667937,complete,13,451.395,1,0,6,unhappy.png
task-w6i6,valence,NA,cold_left,1667937,complete,13,2323.04,2,1,6,unhappy.png
task-w6i6,valence,NA,cold_left,1667937,complete,13,1099.659,NA,0,6,unhappy.png
task-w6i6,valence,NA,cold_left,1667937,complete,14,878.52,1,1,6,happy.png
