pid,version,dimension,key1,key2,pstatus,trial,rt,attempt,correct,block,stimulus,keys,block_cat,congruency,age,country,firstlang,gender
1667632,task-9nfw,arousal,cold_right,NA,complete,13,380,1,1,6,passive.png,cold_right,p,incongruent,19,England,English,Female
1667928,task-llso,arousal,cold_left,NA,complete,13,2164.465,1,1,6,cold.png,cold_left,p,incongruent,24,UK,ENGLISH,Female
1667938,task-9nfw,arousal,cold_right,NA,complete,13,1075.16,1,1,6,hot.png,cold_right,p,incongruent,60,Canada,English,Female
1667959,task-llso,arousal,cold_left,NA,complete,13,508.55,1,1,3,hot.png,cold_left,p,congruent,21,England,English,Male
1667975,task-llso,arousal,cold_left,NA,complete,13,1108,1,0,3,passive.png,cold_left,p,congruent,20,England,English,Female
1667984,task-9nfw,arousal,cold_right,NA,complete,13,952,1,1,6,cold.png,cold_right,p,incongruent,51,England,English,Female
1667993,task-llso,arousal,cold_left,NA,complete,13,723,1,1,3,cold.png,cold_left,p,congruent,27,UK,English,Female
1668083,task-llso,arousal,cold_left,NA,complete,13,572.6949999,1,1,3,passive.png,cold_left,p,congruent,29,England,English,Female
1668109,task-llso,arousal,cold_left,NA,complete,13,570,1,1,6,passive.png,cold_left,p,incongruent,55,UK,English,Female
1668113,task-9nfw,arousal,cold_right,NA,complete,13,1535.61,1,1,6,hot.png,cold_right,p,incongruent,34,England,English,Female
1668114,task-llso,arousal,cold_left,NA,complete,13,1131,1,1,3,active.png,cold_left,p,congruent,48,england uk,english,Female
1668123,task-llso,arousal,cold_left,NA,complete,13,604.3550001,1,1,3,hot.png,cold_left,p,congruent,36,england,english,Male
1668126,task-9nfw,arousal,cold_right,NA,complete,13,679.16,1,1,3,passive.png,cold_right,p,congruent,21,uk,english,Female
1668128,task-llso,arousal,cold_left,NA,complete,13,792.585,1,0,3,cold.png,cold_left,p,congruent,20,UK,English,Female
1668131,task-llso,arousal,cold_left,NA,complete,13,797.935,1,1,3,active.png,cold_left,p,congruent,58,England,French,Female
