version,dimension,key1,key2,pid,pstatus,trial,rt,attempt,correct,block,stimulus
task-llso,arousal,cold_left,NA,1667928,complete,BEGIN TASK,,NA,0,NA,
task-llso,arousal,cold_left,NA,1667928,complete,1,8481.43,NA,0,NA,
task-llso,arousal,cold_left,NA,1667928,complete,1,740.92,NA,0,NA,
task-llso,arousal,cold_left,NA,1667928,complete,1,1875.28,1,1,1,active.png
task-llso,arousal,cold_left,NA,1667928,complete,1,1106.079,NA,0,1,active.png
task-llso,arousal,cold_left,NA,1667928,complete,2,700.41,1,1,1,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,2,1103.674,NA,0,1,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,3,532.3700001,1,1,1,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,3,1103.28,NA,0,1,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,4,568.7200001,1,1,1,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,4,1103.333,NA,0,1,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,5,523.88,1,1,1,active.png
task-llso,arousal,cold_left,NA,1667928,complete,5,1103.128,NA,0,1,active.png
task-llso,arousal,cold_left,NA,1667928,complete,6,448.0049999,1,1,1,active.png
task-llso,arousal,cold_left,NA,1667928,complete,6,1101.938,NA,0,1,active.png
task-llso,arousal,cold_left,NA,1667928,complete,2,2956.11,NA,0,NA,
task-llso,arousal,cold_left,NA,1667928,complete,2,709.732,NA,0,NA,
task-llso,arousal,cold_left,NA,1667928,complete,7,1572.74,1,1,2,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,7,1105.244,NA,0,2,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,8,417.1199999,1,1,2,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,8,1102.843,NA,0,2,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,9,448.9850001,1,1,2,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,9,1103.057,NA,0,2,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,10,407.935,1,1,2,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,10,1102.89,NA,0,2,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,11,374.4400002,1,1,2,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,11,1102.716,NA,0,2,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,12,389.3800001,1,1,2,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,12,1103.127,NA,0,2,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,3,8831.67,NA,0,NA,
task-llso,arousal,cold_left,NA,1667928,complete,3,709.866,NA,0,NA,
task-llso,arousal,cold_left,NA,1667928,complete,13,2164.465,1,1,6,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,13,1106.89,NA,0,6,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,14,1383.535,1,1,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,14,1105.68,NA,0,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,15,835.2000001,1,1,6,active.png
task-llso,arousal,cold_left,NA,1667928,complete,15,1104.183,NA,0,6,active.png
task-llso,arousal,cold_left,NA,1667928,complete,16,911.7099999,1,1,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,16,1104.712,NA,0,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,17,548.3650002,1,1,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,17,1103.256,NA,0,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,18,352.47,1,1,6,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,18,1102.697,NA,0,6,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,19,662.49,1,1,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,19,1103.537,NA,0,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,20,640.2350001,1,0,6,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,20,1111.975,2,1,6,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,20,1103.847,NA,0,6,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,21,664.0599999,1,1,6,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,21,1103.604,NA,0,6,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,22,507.425,1,1,6,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,22,1102.185,NA,0,6,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,23,1073.505,1,1,6,active.png
task-llso,arousal,cold_left,NA,1667928,complete,23,1104.829,NA,0,6,active.png
task-llso,arousal,cold_left,NA,1667928,complete,24,707.2400001,1,1,6,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,24,1103.767,NA,0,6,hot.png
task-llso,arousal,cold_left,NA,1667928,complete,25,984.5049998,1,1,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,25,1104.574,NA,0,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,26,650.72,1,1,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,26,1103.566,NA,0,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,27,490.0249999,1,1,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,27,1102.129,NA,0,6,passive.png
task-llso,arousal,cold_left,NA,1667928,complete,28,823.48,1,1,6,active.png
task-llso,arousal,cold_left,NA,1667928,complete,28,1103.097,NA,0,6,active.png
task-llso,arousal,cold_left,NA,1667928,complete,29,560.3550002,1,1,6,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,29,1103.364,NA,0,6,cold.png
task-llso,arousal,cold_left,NA,1667928,complete,30,430.4299999,1,1,6,cold.png
